x0 x1
-2.6980450  3.86166634
-0.3677611  1.75871951
 3.4048138  0.06949408
 2.7522091  1.00566344
 0.8919011  1.18272825
-2.8833296 -2.82516762
-2.3709129  2.12642782
 3.2690108 -1.98056116
 1.2231843  1.31837991
-3.4765761 -2.10611290
-1.4077955  1.87524431
 2.2691554  1.93874425
-3.9436219 -3.03359901
-1.4384302 -3.57244651
-1.9781237 -4.07611648
-2.2470147  3.68808291
-3.9544531  1.70248512
-3.0861822  1.56110857
-0.4593146 -2.77213257
-1.8945787  2.78783899
-3.4158603 -3.89073585
-0.8511758  1.35214061
-3.4436141  3.86225107
 2.3138515 -0.90916407
-0.8290856 -3.32545260
-2.6413211  1.60648242
 4.2680300 -0.48195489
 2.8186657 -1.17766094
-2.2690032  2.18195786
-3.9131486  0.50581877
 3.3288176  0.20699338
-2.5814978  4.38719876
-1.7555262 -1.84194329
-3.1131598  2.74641756
-4.1447031  2.88267984
 2.6785962 -0.60524757
 4.1053292  1.92165416
 1.2569718  1.28685980
-3.9261987 -4.25693844
-2.5661364  1.87712521
-2.0028931 -1.97226543
-3.3676541 -2.82189941
-4.7314583  3.24365358
-3.5547431  4.13611643
 2.0489216 -0.88915916
 3.4158393 -0.56954420
-3.3060611  0.53831954
 2.7932892  0.32252449
-3.1092617  2.57076576
 2.0313282 -0.70661017
-3.4574658 -3.78165031
-3.1645502 -1.46204288
-3.2523315  1.58285727
 5.6804032  0.12398951
-2.2624711  4.19892326
-1.0251536  4.83425452
-1.7603812  1.88492829
-2.7341354 -1.54281317
-3.5321870 -5.67895307
-2.7681556  1.51679875
-2.3835048 -4.56996121
 1.6982485 -0.45210796
-2.3430231 -1.96428850
-2.6502938 -2.50819286
-1.9492262 -3.44372274
-1.2033986 -2.99799024
-3.2566764 -3.86087900
 3.0124375  1.08424207
-2.4861787 -3.42809767
-2.7789841 -2.02036317
-2.4933029 -2.45584884
 2.0586287 -0.26629518
-3.0050779  1.65178702
-1.2978921 -3.75317535
-4.2281618 -3.13798932
-0.4991865  2.49415528
-3.5214937  2.83897581
-3.2534110  1.92870882
-2.0426318  2.35609930
 3.3310649  0.04656395
-1.8327008 -4.02830149
-2.7937993 -2.28826321
 1.2114475  1.34778367
-1.0781348  3.14478117
