time accel vp
  2.4   0.0   2.261571
  2.6  -1.3   2.261571
  3.2  -2.7   2.261571
  3.6   0.0   2.261571
  4.0  -2.7   2.261571
  6.2  -2.7   2.261571
  6.6  -2.7   2.261571
  6.8  -1.3   2.261571
  7.8  -2.7   2.261571
  8.2  -2.7   2.261571
  8.8  -1.3   2.261571
  8.8  -2.7   2.261571
  9.6  -2.7   2.261571
 10.0  -2.7   2.261571
 10.2  -5.4   2.261571
 10.6  -2.7   2.261571
 11.0  -5.4   2.261571
 11.4   0.0   2.261571
 13.2  -2.7   2.261571
 13.6  -2.7   2.261571
 13.8   0.0   2.261571
 14.6 -13.3 178.651787
 14.6  -5.4 178.651787
 14.6  -5.4 178.651787
 14.6  -9.3 178.651787
 14.6 -16.0 178.651787
 14.6 -22.8 178.651787
 14.8  -2.7 203.489853
 15.4 -22.8 289.448351
 15.4 -32.1 289.448351
 15.4 -53.5 289.448351
 15.4 -54.9 289.448351
 15.6 -40.2 321.393489
 15.6 -21.5 321.393489
 15.8 -21.5 354.586827
 15.8 -50.8 354.586827
 16.0 -42.9 388.707036
 16.0 -26.8 388.707036
 16.2 -21.5 423.380879
 16.2 -50.8 423.380879
 16.2 -61.7 423.380879
 16.4  -5.4 458.188160
 16.4 -80.4 458.188160
 16.6 -59.0 492.668756
 16.8 -71.0 526.395565
 16.8 -91.1 526.395565
 16.8 -77.7 526.395565
 17.6  -37.5  650.8135
 17.6  -85.6  650.8135
 17.6 -123.1  650.8135
 17.6 -101.9  650.8135
 17.8  -99.1  676.4907
 17.8 -104.4  676.4907
 18.6 -112.5  738.8773
 18.6  -50.8  738.8773
 19.2 -123.1  729.8400
 19.4  -85.6  714.9017
 19.4  -72.3  714.9017
 19.6 -127.2  694.7913
 20.2 -123.1  621.8588
 20.4 -117.9  596.7223
 21.2 -134.0  511.4857
 21.4 -101.9  496.5018
 21.8 -108.4  476.8419
 22.0 -123.1  472.9285
 23.2 -123.1  506.4944
 23.4 -128.5  516.6684
 24.0 -112.5  550.7782
 24.2  -95.1  562.5454
 24.2  -81.8  562.5454
 24.6  -53.5  585.0095
 25.0  -64.4  604.2209
 25.0  -57.6  604.2209
 25.4  -72.3  624.8234
 25.4  -44.3  624.8234
 25.6  -26.8  636.5189
 26.0   -5.4  662.5573
 26.2 -107.1  676.8378
 26.2  -21.5  676.8378
 26.4  -65.6  691.9124
 27.0  -16.0  741.4775
 27.2  -45.6  759.2785
 27.2  -24.2  759.2785
 27.2    9.5  759.2785
 27.6    4.0  796.4299
 28.2   12.0  854.8512
 28.4  -21.5  874.6690
 28.4   37.5  874.6690
 28.6   46.9  894.4764
 29.4  -17.4  971.0002
 30.2   36.2 1035.9567
 31.0   75.0 1087.0039
 31.2    8.1 1099.1887
 32.0   54.9 1143.9982
 32.0  48.2 1143.9982
 32.8  46.9 1178.9842
 33.4  16.0 1195.8415
 33.8  45.6 1201.4865
 34.4   1.3 1200.1920
 34.8  75.0 1192.1351
 35.2 -16.0 1177.8912
 35.2 -54.9 1177.8912
 35.4  69.6 1168.3677
 35.6  34.8 1157.2160
 35.6  32.1 1157.2160
 36.2 -37.5 1112.7969
 36.2  22.8 1112.7969
 38.0  46.9  904.1549
 38.0  10.7  904.1549
 39.2   5.4  755.5962
 39.4  -1.3  732.7573
 40.0 -21.5  669.1415
 40.4 -13.3  631.3077
 41.6  30.8  539.9255
 41.6 -10.7  539.9255
 42.4  29.4  481.1258
 42.8   0.0  451.6875
 42.8 -10.7  451.6875
 43.0  14.7  437.2430
 44.0  -1.3  370.0639
 44.4   0.0  346.2926
 45.0  10.7  314.5652
 46.6  10.7  254.5187
 47.8 -26.8  227.2244
 47.8 -14.7  227.2244
 48.8 -13.3  208.6406
 50.6   0.0  182.8429
 52.0  10.7  168.3402
 53.2 -14.7  159.1244
 55.0  -2.7  150.1179
 55.0  10.7  150.1179
 55.4  -2.7  148.8397
 57.6  10.7  146.2786
